,order_id,customer_id,product_category,product_name,quantity,unit_price,order_date,customer_age,customer_region,shipping_cost,discount_applied,total_amount,discounted_amount,final_amount,order_month,order_quarter
0,ORD0001,CUST103,Sports,Product_25,1,124.3,25/07/2023,24,West,10.14,10,124.3,111.87,122.01,7,3
1,ORD0002,CUST180,Electronics,Product_36,1,66.35,10/11/2023,44,West,19.39,0,66.35,66.35,85.74,11,4
2,ORD0003,CUST093,Books,Product_75,5,145.74,04/04/2023,18,West,5.56,5,728.7,692.265,697.825,4,2
3,ORD0004,CUST015,Clothing,Product_51,4,154.21,07/05/2023,44,East,12.51,0,616.84,616.84,629.35,5,2
4,ORD0005,CUST107,Sports,Product_15,3,29.48,25/01/2023,33,North,17.54,10,88.44,79.596,97.136,1,1
5,ORD0006,CUST072,Home & Garden,Product_68,3,107.63,30/11/2023,55,West,7.92,5,322.89,306.7455,314.6655,11,4
6,ORD0007,CUST189,Home & Garden,Product_21,3,106.69,21/12/2023,24,East,21.46,20,320.07,256.056,277.516,12,4
7,ORD0008,CUST021,Books,Product_13,1,80.16,26/04/2023,61,North,9.7,0,80.16,80.16,89.86,4,2
8,ORD0009,CUST103,Clothing,Product_86,4,187.26,17/02/2023,40,West,18.05,5,749.04,711.588,729.638,2,1
9,ORD0010,CUST122,Clothing,Product_19,5,167.23,14/08/2023,58,North,13.1,5,836.15,794.3425,807.4425,8,3
10,ORD0011,CUST211,Electronics,Product_34,2,142.47,23/09/2023,28,West,16.92,5,284.94,270.693,287.613,9,3
11,ORD0012,CUST215,Sports,Product_78,2,145.72,09/04/2023,59,East,7.15,5,291.44,276.868,284.018,4,2
12,ORD0013,CUST075,Home & Garden,Product_68,3,97.73,11/01/2023,50,South,5.34,10,293.19,263.871,269.211,1,1
13,ORD0014,CUST203,Sports,Product_52,4,184.99,26/03/2023,67,South,23.19,15,739.96,628.966,652.156,3,1
14,ORD0015,CUST088,Sports,Product_27,1,141.97,02/08/2023,53,North,10.39,15,141.97,120.6745,131.0645,8,3
15,ORD0016,CUST117,Books,Product_29,4,148.51,22/06/2023,54,East,21.39,15,594.04,504.934,526.324,6,2
